timestamp,open,high,low,close,volume,trade_count,vwap
2022-07-01 00:00:00,19935.53,20896.36,19638.7,20268.46,1005.036456,16265.0,20241.098313
2022-07-01 01:00:00,20265.7,20467.94,20225.5,20386.73,723.770069,10530.0,20331.109787
2022-07-01 02:00:00,20390.07,20518.34,20236.41,20265.67,429.473926,5882.0,20353.70382
2022-07-01 03:00:00,20265.66,20284.88,19660.54,19696.85,529.167195,6473.0,20034.535558
2022-07-01 04:00:00,19697.25,19726.26,19347.66,19382.09,565.767071,7816.0,19549.198647
2022-07-01 05:00:00,19374.83,19544.46,19288.0,19437.19,475.615545,5573.0,19406.084687
2022-07-01 06:00:00,19429.01,19465.61,19328.06,19374.22,287.392564,4057.0,19390.987744
2022-07-01 07:00:00,19370.93,19635.57,19306.98,19547.31,327.516152,4193.0,19502.886319
2022-07-01 08:00:00,19552.14,19764.83,19445.0,19492.09,453.118355,6168.0,19609.277511
2022-07-01 09:00:00,19489.45,19535.64,19339.53,19396.02,463.959179,6329.0,19449.110123
2022-07-01 10:00:00,19395.67,19469.5,18966.5,19050.94,533.170436,7054.0,19220.447168
2022-07-01 11:00:00,19049.97,19203.27,18940.0,19168.01,518.999173,7335.0,19121.186292
2022-07-01 12:00:00,19164.44,19324.79,19102.87,19270.14,339.803221,5262.0,19229.536401
2022-07-01 13:00:00,19262.1,19648.02,19187.95,19445.61,513.580875,7852.0,19371.31637
2022-07-01 14:00:00,19442.1,19522.4,19270.58,19387.95,363.440692,7088.0,19369.099255
2022-07-01 15:00:00,19384.34,19461.46,19192.86,19270.16,336.072191,6071.0,19343.337922
2022-07-01 16:00:00,19270.85,19446.67,19229.11,19316.55,304.122653,5229.0,19349.294151
2022-07-01 17:00:00,19327.25,19501.42,19297.5,19467.52,322.573881,5510.0,19396.861025
2022-07-01 18:00:00,19467.2,19526.31,19368.46,19412.94,265.946655,4849.0,19454.584259
2022-07-01 19:00:00,19416.59,19420.77,19253.1,19366.07,250.33303,4474.0,19320.651203
2022-07-01 20:00:00,19368.0,19657.6,19323.98,19399.93,288.933893,5379.0,19484.906357
2022-07-01 21:00:00,19407.61,19492.59,19305.0,19360.14,106.988128,2202.0,19422.650545
2022-07-01 22:00:00,19378.03,19396.04,19262.85,19276.69,126.550297,2799.0,19346.085898
2022-07-01 23:00:00,19277.99,19432.97,19174.8,19256.75,215.851979,4002.0,19329.546317
2022-07-02 00:00:00,19261.58,19361.94,19140.58,19144.76,279.281389,4746.0,19264.445898
2022-07-02 01:00:00,19146.42,19268.1,19120.75,19205.68,162.317611,2586.0,19210.670414
2022-07-02 02:00:00,19210.64,19259.17,19090.49,19174.2,209.840203,3709.0,19181.581227
2022-07-02 03:00:00,19175.05,19210.0,19041.87,19102.24,196.405134,3300.0,19114.032456
2022-07-02 04:00:00,19105.83,19207.42,19083.31,19170.27,179.761213,2610.0,19155.521343
2022-07-02 05:00:00,19170.9,19269.93,19149.38,19215.74,140.728654,2183.0,19213.594104
2022-07-02 06:00:00,19215.74,19255.43,19161.83,19190.43,108.17543,1642.0,19209.420369
2022-07-02 07:00:00,19190.22,19246.41,19086.57,19101.95,144.363,2131.0,19161.448905
